Registration_NO,2017/02/09,,Total
2014236001,0,,0
2014236002,3,,3
2014236003,0,,0
2014236004,0,,0
2014236005,3,,3
2014236006,0,,0
2014236007,0,,0
2014236008,3,,3
2014236009,0,,0
2014236010,0,,0
2014236011,3,,3
2014236012,3,,3
2014236013,3,,3
2014236014,0,,0
2014236015,3,,3
2014236016,3,,3
2014236017,0,,0
2014236018,0,,0
2014236019,0,,0
2014236020,3,,3
2014236021,0,,0
2014236022,0,,0
2014236023,0,,0
2014236024,0,,0
2014236025,3,,3
2014236026,0,,0
2014236027,0,,0
2014236028,0,,0
2014236029,3,,3
2014236030,3,,3
2014236031,3,,3
2014236032,3,,3
2014236033,3,,3
2014236034,0,,0
2014236035,3,,3
2014236036,3,,3
2014236037,3,,3
2014236038,0,,0
2014236039,3,,3
2014236040,3,,3
2014236041,3,,3
2014236042,3,,3
2014236043,0,,0
2014236044,3,,3
2014236045,3,,3
2014236046,3,,3
2014236047,3,,3
2014236048,3,,3
2014236049,3,,3
2014236050,3,,3
2014236051,0,,0
2014236052,3,,3
2014236053,0,,0
2014236054,0,,0
2014236055,0,,0
2014236056,3,,3
2014236057,3,,3
2014236058,0,,0
2014236059,3,,3
2014236060,0,,0
2014236061,3,,3
2014236062,0,,0
2014236063,3,,3
2014236064,3,,3
2014236065,3,,3
2014236066,3,,3
2014236067,3,,3
2014236068,3,,3
2014236069,3,,3
2014236070,3,,3
2014236071,0,,0
2014236072,0,,0
2014236073,3,,3
2014236074,0,,0
2014236075,3,,3
2014236076,3,,3
